Id,Weekly_Sales
1_2_2013-07-12,9610.09
1_2_2013-07-19,3807.81
1_2_2013-07-26,7744.69
1_3_2012-11-02,9542.26
1_3_2012-11-09,9485.78
1_3_2012-11-16,9613.58
1_3_2012-11-23,11100.9
1_3_2012-11-30,8393.56
1_3_2012-12-07,2244.22
1_3_2012-12-14,8058.28
1_3_2012-12-21,6939.55
1_3_2012-12-28,8583.19
1_3_2013-01-04,9091.29
1_3_2013-01-11,4916.82
1_3_2013-01-18,405.54
1_3_2013-01-25,3909.22
1_3_2013-02-01,8103.46
1_3_2013-02-08,635.91
1_3_2013-02-15,9360.33
1_3_2013-02-22,4309.96
1_3_2013-03-01,4319.73
1_3_2013-03-08,11041.3
1_3_2013-03-15,9357.02
1_3_2013-03-22,6419.18
1_3_2013-03-29,5815.88
1_3_2013-04-05,7768.1
1_3_2013-04-12,6588.97
1_3_2013-04-19,5780.3
1_3_2013-04-26,9115.5
1_3_2013-05-03,6909.43
1_3_2013-05-10,-347.58
1_3_2013-05-17,5910.72
1_3_2013-05-24,5449.85
1_3_2013-05-31,11473.08
1_3_2013-06-07,4023.9
1_3_2013-06-14,1076.84
1_3_2013-06-21,428.01
1_3_2013-06-28,9334.92
1_3_2013-07-05,6022.58
1_3_2013-07-12,2436.82
1_3_2013-07-19,9510.69
1_3_2013-07-26,2707.2
1_4_2012-11-02,7415.32
1_4_2012-11-09,9373.35
1_4_2012-11-16,11480.17
1_4_2012-11-23,5685.28
1_4_2012-11-30,8412.04
1_4_2012-12-07,12219.21
1_4_2012-12-14,5412.23
1_4_2012-12-21,8552.38
1_4_2012-12-28,3792.56
1_4_2013-01-04,5526.8
1_4_2013-01-11,10973.82
1_4_2013-01-18,6363.41
1_4_2013-01-25,7690.23
1_4_2013-02-01,3391.73
1_4_2013-02-08,8126.83
1_4_2013-02-15,1377.47
1_4_2013-02-22,11028.21
1_4_2013-03-01,4979.95
1_4_2013-03-08,9185.98
1_4_2013-03-15,1905.98
1_4_2013-03-22,6557.85
1_4_2013-03-29,10454.11
1_4_2013-04-05,-173.02
1_4_2013-04-12,979.27
1_4_2013-04-19,4624.52
1_4_2013-04-26,1561.7
1_4_2013-05-03,4810.47
1_4_2013-05-10,6048.26
1_4_2013-05-17,9043.35
1_4_2013-05-24,4120.42
1_4_2013-05-31,9227.97
1_4_2013-06-07,6881.2
1_4_2013-06-14,9754.97
1_4_2013-06-21,3791.38
1_4_2013-06-28,11495.41
1_4_2013-07-05,5183.11
1_4_2013-07-12,8912.09
1_4_2013-07-19,3500.78
1_4_2013-07-26,8815.84
1_5_2012-11-02,12407.42
1_5_2012-11-09,4663.68
1_5_2012-11-16,9130.06
1_5_2012-11-23,7317.58
1_5_2012-11-30,7534.11
1_5_2012-12-07,5880.97
1_5_2012-12-14,4933.82
1_5_2012-12-21,4661.97
1_5_2012-12-28,5626.63
1_5_2013-01-04,7503.0
1_5_2013-01-11,673.81
1_5_2013-01-18,7549.99
1_5_2013-01-25,8049.74
1_5_2013-02-01,8300.73
1_5_2013-02-08,9745.41
1_5_2013-02-15,8997.89
1_5_2013-02-22,8541.11
1_5_2013-03-01,8300.34
1_5_2013-03-08,9051.67
1_5_2013-03-15,8843.02
1_5_2013-03-22,9303.6
1_5_2013-03-29,11525.13
1_5_2013-04-05,6597.52
1_5_2013-04-12,8496.85
1_5_2013-04-19,9579.24
1_5_2013-04-26,9213.46
1_5_2013-05-03,8328.75
1_5_2013-05-10,9077.4
1_5_2013-05-17,5680.95
1_5_2013-05-24,11033.57
1_5_2013-05-31,6458.82
1_5_2013-06-07,12084.89
1_5_2013-06-14,5668.35
1_5_2013-06-21,8334.79
1_5_2013-06-28,5393.63
1_5_2013-07-05,1977.24
1_5_2013-07-12,10087.85
1_5_2013-07-19,9060.06
1_5_2013-07-26,6484.61
1_6_2012-11-02,6252.53
1_6_2012-11-09,9641.72
1_6_2012-11-16,6848.87
1_6_2012-11-23,5969.01
1_6_2012-11-30,5469.31
1_6_2012-12-07,7396.89
1_6_2012-12-14,-230.51
1_6_2012-12-21,9292.74
1_6_2012-12-28,7818.91
1_6_2013-01-04,12415.76
1_6_2013-01-11,306.63
1_6_2013-01-18,5879.09
1_6_2013-01-25,2547.77
1_6_2013-02-01,3362.78
1_6_2013-02-08,1212.39
1_6_2013-02-15,7336.76
1_6_2013-02-22,5203.35
1_6_2013-03-01,11778.58
1_6_2013-03-08,8770.45
1_6_2013-03-15,7162.62
1_6_2013-03-22,8633.38
1_6_2013-03-29,5201.44
1_6_2013-04-05,7448.36
1_6_2013-04-12,9009.14
1_6_2013-04-19,8565.6
1_6_2013-04-26,10889.31
1_6_2013-05-03,6062.25
1_6_2013-05-10,1846.71
1_6_2013-05-17,10660.37
1_6_2013-05-24,9522.01
1_6_2013-05-31,7756.75
1_6_2013-06-07,9538.76
1_6_2013-06-14,9571.61
1_6_2013-06-21,4797.73
1_6_2013-06-28,10527.84
1_6_2013-07-05,10688.34
1_6_2013-07-12,9927.14
1_6_2013-07-19,6999.16
1_6_2013-07-26,8909.89
1_7_2012-11-02,2225.17
1_7_2012-11-09,6320.1
1_7_2012-11-16,2720.66
1_7_2012-11-23,6014.55
1_7_2012-11-30,9741.76
1_7_2012-12-07,1149.14
1_7_2012-12-14,6514.99
1_7_2012-12-21,8284.82
1_7_2012-12-28,6228.91
1_7_2013-01-04,9781.1
1_7_2013-01-11,6173.34
1_7_2013-01-18,5970.26
1_7_2013-01-25,11643.07
1_7_2013-02-01,6768.45
1_7_2013-02-08,7041.34
1_7_2013-02-15,8031.02
1_7_2013-02-22,6918.12
1_7_2013-03-01,9881.27
1_7_2013-03-08,9885.81
1_7_2013-03-15,7468.5
1_7_2013-03-22,7162.46
1_7_2013-03-29,5815.98
1_7_2013-04-05,12232.78
1_7_2013-04-12,942.84
1_7_2013-04-19,7743.05
1_7_2013-04-26,6025.62
1_7_2013-05-03,4517.58
1_7_2013-05-10,8982.15
1_7_2013-05-17,10651.81
1_7_2013-05-24,3190.55
1_7_2013-05-31,12136.7
1_7_2013-06-07,9197.36
1_7_2013-06-14,7449.87
1_7_2013-06-21,567.63
1_7_2013-06-28,6504.79
1_7_2013-07-05,6568.68
1_7_2013-07-12,8155.41
1_7_2013-07-19,11283.09
1_7_2013-07-26,12077.87
1_8_2012-11-02,876.02
1_8_2012-11-09,1754.96
1_8_2012-11-16,8367.78
1_8_2012-11-23,4514.2
1_8_2012-11-30,8185.05
1_8_2012-12-07,2997.94
1_8_2012-12-14,6240.86
1_8_2012-12-21,6885.15
1_8_2012-12-28,6993.74
1_8_2013-01-04,763.91
1_8_2013-01-11,7207.29
1_8_2013-01-18,7996.82
1_8_2013-01-25,376.72
1_8_2013-02-01,3438.28
1_8_2013-02-08,9993.88
1_8_2013-02-15,4084.22
1_8_2013-02-22,7137.68
1_8_2013-03-01,11731.5
1_8_2013-03-08,10154.06
1_8_2013-03-15,5847.83
1_8_2013-03-22,10168.36
1_8_2013-03-29,10759.55
1_8_2013-04-05,6312.08
1_8_2013-04-12,9806.21
1_8_2013-04-19,6583.25
1_8_2013-04-26,9145.51
1_8_2013-05-03,10297.52
1_8_2013-05-10,7290.72
1_8_2013-05-17,8186.26
1_8_2013-05-24,9147.61
1_8_2013-05-31,6085.35
1_8_2013-06-07,8810.3
1_8_2013-06-14,7597.6
1_8_2013-06-21,9302.95
1_8_2013-06-28,7066.98
1_8_2013-07-05,6444.99
1_8_2013-07-12,889.45
1_8_2013-07-19,7481.43
1_8_2013-07-26,6447.7
1_9_2012-11-02,12411.04
1_9_2012-11-09,4531.85
1_9_2012-11-16,10239.45
1_9_2012-11-23,8915.63
1_9_2012-11-30,7771.9
1_9_2012-12-07,5348.52
1_9_2012-12-14,9638.84
1_9_2012-12-21,3287.76
1_9_2012-12-28,6647.01
1_9_2013-01-04,5972.61
1_9_2013-01-11,7925.58
1_9_2013-01-18,8461.27
1_9_2013-01-25,12648.77
1_9_2013-02-01,6824.07
1_9_2013-02-08,7425.5
1_9_2013-02-15,3042.43
1_9_2013-02-22,10287.0
1_9_2013-03-01,6319.15
1_9_2013-03-08,9506.66
1_9_2013-03-15,9025.8
1_9_2013-03-22,3664.4
1_9_2013-03-29,9376.66
1_9_2013-04-05,-399.8
1_9_2013-04-12,12353.83
1_9_2013-04-19,8996.13
1_9_2013-04-26,8503.32
1_9_2013-05-03,9645.56
1_9_2013-05-10,9799.31
1_9_2013-05-17,5170.42
1_9_2013-05-24,6233.34
1_9_2013-05-31,2132.31
1_9_2013-06-07,6752.2
1_9_2013-06-14,6909.81
1_9_2013-06-21,9189.35
1_9_2013-06-28,10243.33
1_9_2013-07-05,8053.38
1_9_2013-07-12,12520.39
1_9_2013-07-19,2029.36
1_9_2013-07-26,6359.25
1_10_2012-11-02,8351.06
1_10_2012-11-09,6726.45
1_10_2012-11-16,6057.59
1_10_2012-11-23,9059.56
1_10_2012-11-30,5626.82
1_10_2012-12-07,8800.2
1_10_2012-12-14,9972.47
1_10_2012-12-21,8188.57
1_10_2012-12-28,6978.42
1_10_2013-01-04,8580.17
1_10_2013-01-11,11495.0
1_10_2013-01-18,4230.9
1_10_2013-01-25,4207.79
1_10_2013-02-01,2340.81
1_10_2013-02-08,2168.16
1_10_2013-02-15,2247.91
1_10_2013-02-22,10837.38
1_10_2013-03-01,6981.78
1_10_2013-03-08,4209.77
1_10_2013-03-15,6148.22
1_10_2013-03-22,7156.91
1_10_2013-03-29,9852.52
1_10_2013-04-05,10174.95
1_10_2013-04-12,7004.75
1_10_2013-04-19,6249.37
1_10_2013-04-26,9935.28
1_10_2013-05-03,6202.82
1_10_2013-05-10,6696.63
1_10_2013-05-17,4989.55
1_10_2013-05-24,6719.69
1_10_2013-05-31,5850.83
1_10_2013-06-07,11414.75
1_10_2013-06-14,6783.18
1_10_2013-06-21,1947.71
1_10_2013-06-28,7028.91
1_10_2013-07-05,6975.42
1_10_2013-07-12,11520.8
1_10_2013-07-19,9145.08
1_10_2013-07-26,1533.38
1_11_2012-11-02,7291.39
1_11_2012-11-09,8664.57
1_11_2012-11-16,9319.89
1_11_2012-11-23,4665.82
1_11_2012-11-30,5276.3
1_11_2012-12-07,4324.36
1_11_2012-12-14,6744.15
1_11_2012-12-21,8485.37
1_11_2012-12-28,8531.5
1_11_2013-01-04,6634.38
1_11_2013-01-11,7842.17
1_11_2013-01-18,6707.09
1_11_2013-01-25,7559.39
1_11_2013-02-01,5531.25
1_11_2013-02-08,1850.31
1_11_2013-02-15,3929.16
1_11_2013-02-22,11112.98
1_11_2013-03-01,4354.52
1_11_2013-03-08,4380.17
1_11_2013-03-15,11416.86
1_11_2013-03-22,7013.52
1_11_2013-03-29,5992.7
1_11_2013-04-05,3474.98
1_11_2013-04-12,3669.66
1_11_2013-04-19,6204.33
1_11_2013-04-26,12057.91
1_11_2013-05-03,11187.97
1_11_2013-05-10,11402.14
1_11_2013-05-17,9689.14
1_11_2013-05-24,12036.39
1_11_2013-05-31,8990.08
1_11_2013-06-07,7848.89
1_11_2013-06-14,6858.49
1_11_2013-06-21,10995.79
1_11_2013-06-28,3444.88
1_11_2013-07-05,6951.48
1_11_2013-07-12,10076.11
1_11_2013-07-19,3920.38
1_11_2013-07-26,8723.45
1_12_2012-11-02,5362.12
1_12_2012-11-09,6966.95
1_12_2012-11-16,8369.54
1_12_2012-11-23,11329.67
1_12_2012-11-30,8149.64
1_12_2012-12-07,4302.69
1_12_2012-12-14,9045.63
1_12_2012-12-21,9567.95
1_12_2012-12-28,9122.88
1_12_2013-01-04,5483.34
1_12_2013-01-11,7621.14
1_12_2013-01-18,1991.72
1_12_2013-01-25,6885.78
1_12_2013-02-01,8453.47
1_12_2013-02-08,11628.34
1_12_2013-02-15,3047.64
1_12_2013-02-22,11757.72
1_12_2013-03-01,5613.5
1_12_2013-03-08,7224.78
1_12_2013-03-15,11952.25
1_12_2013-03-22,9069.82
1_12_2013-03-29,8884.87
1_12_2013-04-05,6654.62
1_12_2013-04-12,8283.97
1_12_2013-04-19,6580.61
1_12_2013-04-26,8991.73
1_12_2013-05-03,4930.24
1_12_2013-05-10,7773.93
1_12_2013-05-17,4056.59
1_12_2013-05-24,5320.37
1_12_2013-05-31,7393.76
1_12_2013-06-07,8419.59
1_12_2013-06-14,5124.28
1_12_2013-06-21,6069.48
1_12_2013-06-28,8723.98
1_12_2013-07-05,9236.86
1_12_2013-07-12,86.29
1_12_2013-07-19,3836.27
1_12_2013-07-26,1125.33
1_13_2012-11-02,6676.12
1_13_2012-11-09,12585.17
1_13_2012-11-16,1114.72
1_13_2012-11-23,10890.21
1_13_2012-11-30,4971.39
1_13_2012-12-07,8458.68
1_13_2012-12-14,8740.64
1_13_2012-12-21,1384.44
1_13_2012-12-28,8066.78
1_13_2013-01-04,7565.14
1_13_2013-01-11,8752.19
1_13_2013-01-18,10491.28
1_13_2013-01-25,9633.66
1_13_2013-02-01,8686.13
1_13_2013-02-08,9591.7
1_13_2013-02-15,10750.86
1_13_2013-02-22,1701.16
1_13_2013-03-01,6601.56
1_13_2013-03-08,4664.95
1_13_2013-03-15,1738.35
1_13_2013-03-22,8474.55
1_13_2013-03-29,7189.5
1_13_2013-04-05,1089.89
1_13_2013-04-12,7514.56
1_13_2013-04-19,4172.69
1_13_2013-04-26,6996.1
1_13_2013-05-03,10132.08
1_13_2013-05-10,6325.32
1_13_2013-05-17,10326.22
1_13_2013-05-24,8461.73
1_13_2013-05-31,7081.77
1_13_2013-06-07,6353.11
1_13_2013-06-14,6174.48
1_13_2013-06-21,7879.28
1_13_2013-06-28,6050.02
1_13_2013-07-05,5895.91
1_13_2013-07-12,2582.27
1_13_2013-07-19,5968.25
1_13_2013-07-26,8581.61
1_14_2012-11-02,6810.92
1_14_2012-11-09,9211.04
1_14_2012-11-16,5034.87
1_14_2012-11-23,465.03
1_14_2012-11-30,9611.58
1_14_2012-12-07,6935.57
1_14_2012-12-14,10669.91
1_14_2012-12-21,11032.71
1_14_2012-12-28,9814.58
1_14_2013-01-04,7957.81
1_14_2013-01-11,9229.68
1_14_2013-01-18,6638.97
1_14_2013-01-25,2163.88
1_14_2013-02-01,3815.19
1_14_2013-02-08,10194.38
1_14_2013-02-15,8927.95
1_14_2013-02-22,10124.55
1_14_2013-03-01,9910.51
1_14_2013-03-08,5991.91
1_14_2013-03-15,6424.62
1_14_2013-03-22,8254.34
1_14_2013-03-29,5505.71
1_14_2013-04-05,1761.81
1_14_2013-04-12,5028.45
1_14_2013-04-19,4567.66
1_14_2013-04-26,8057.22
1_14_2013-05-03,6818.12
1_14_2013-05-10,10837.96
1_14_2013-05-17,2350.59
1_14_2013-05-24,11978.22
1_14_2013-05-31,5912.91
1_14_2013-06-07,7061.0
1_14_2013-06-14,4850.16
1_14_2013-06-21,4537.28
1_14_2013-06-28,8910.16
1_14_2013-07-05,2184.37
1_14_2013-07-12,10640.6
1_14_2013-07-19,2698.83
1_14_2013-07-26,9956.63
1_16_2012-11-02,2620.68
1_16_2012-11-09,5192.66
1_16_2012-11-16,8359.55
1_16_2012-11-23,9835.63
1_16_2012-11-30,2302.45
1_16_2012-12-07,5641.91
1_16_2012-12-14,3628.13
1_16_2012-12-21,3628.93
1_16_2012-12-28,8353.45
1_16_2013-01-04,2250.29
1_16_2013-01-11,11276.12
1_16_2013-01-18,6734.25
1_16_2013-01-25,3965.17
1_16_2013-02-01,11725.95
1_16_2013-02-08,7448.14
1_16_2013-02-15,3894.48
1_16_2013-02-22,8775.57
1_16_2013-03-01,11923.87
1_16_2013-03-08,9570.3
1_16_2013-03-15,5673.92
1_16_2013-03-22,2346.15
1_16_2013-03-29,6953.24
1_16_2013-04-05,8494.33
1_16_2013-04-12,10443.59
1_16_2013-04-19,7512.39
1_16_2013-04-26,9302.52
1_16_2013-05-03,6920.79
1_16_2013-05-10,7198.71
1_16_2013-05-17,6894.93
1_16_2013-05-24,2534.43
1_16_2013-05-31,8704.36
1_16_2013-06-07,9921.16
1_16_2013-06-14,10341.72
1_16_2013-06-21,10958.29
1_16_2013-06-28,11840.71
1_16_2013-07-05,3112.7
1_16_2013-07-12,9298.59
1_16_2013-07-19,8986.7
1_16_2013-07-26,6973.19
1_17_2012-11-02,9700.67
1_17_2012-11-09,5428.11
1_17_2012-11-16,3382.24
1_17_2012-11-23,-297.18
1_17_2012-11-30,7029.69
1_17_2012-12-07,8716.13
1_17_2012-12-14,7130.82
1_17_2012-12-21,5581.6
1_17_2012-12-28,6742.71
1_17_2013-01-04,5962.31
1_17_2013-01-11,9889.85
1_17_2013-01-18,9443.02
1_17_2013-01-25,7372.95
1_17_2013-02-01,9578.84
1_17_2013-02-08,4978.25
1_17_2013-02-15,5826.31
1_17_2013-02-22,6245.05
1_17_2013-03-01,3829.82
1_17_2013-03-08,8418.49
1_17_2013-03-15,6512.01
1_17_2013-03-22,4292.94
1_17_2013-03-29,800.88
1_17_2013-04-05,4324.35
1_17_2013-04-12,9447.19
1_17_2013-04-19,10105.29
1_17_2013-04-26,10175.5
1_17_2013-05-03,9759.28
1_17_2013-05-10,6254.6
1_17_2013-05-17,8147.56
1_17_2013-05-24,7348.44
1_17_2013-05-31,12242.5
1_17_2013-06-07,5941.18
1_17_2013-06-14,4410.47
1_17_2013-06-21,12175.39
1_17_2013-06-28,12699.81
1_17_2013-07-05,-68.58
1_17_2013-07-12,6614.57
1_17_2013-07-19,1742.2
1_17_2013-07-26,9820.34
1_18_2012-11-02,3474.45
1_18_2012-11-09,6167.14
1_18_2012-11-16,11041.17
1_18_2012-11-23,8523.65
1_18_2012-11-30,10955.18
1_18_2012-12-07,7624.33
1_18_2012-12-14,8571.66
1_18_2012-12-21,6748.96
1_18_2012-12-28,3775.72
1_18_2013-01-04,5717.98
1_18_2013-01-11,1561.19
1_18_2013-01-18,6772.57
1_18_2013-01-25,6476.99
1_18_2013-02-01,8862.14
1_18_2013-02-08,7466.58
1_18_2013-02-15,3948.81
1_18_2013-02-22,9058.51
1_18_2013-03-01,7777.46
1_18_2013-03-08,7143.67
1_18_2013-03-15,9907.69
1_18_2013-03-22,5003.8
1_18_2013-03-29,8816.06
1_18_2013-04-05,9054.51
1_18_2013-04-12,10575.15
1_18_2013-04-19,-181.71
1_18_2013-04-26,8202.94
1_18_2013-05-03,5674.86
1_18_2013-05-10,-309.09
1_18_2013-05-17,10917.71
1_18_2013-05-24,8730.49
1_18_2013-06-07,9609.7
1_18_2013-07-05,8549.51
1_19_2012-11-02,7635.91
1_19_2012-11-09,2586.99
1_19_2012-11-16,5300.93
1_19_2012-11-23,11248.95
1_19_2012-11-30,5892.15
1_19_2012-12-07,6626.79
1_19_2012-12-14,7856.21
1_19_2012-12-21,9279.09
1_19_2012-12-28,9209.03
1_19_2013-01-04,5476.01
1_19_2013-01-11,3679.87
1_19_2013-01-18,7009.38
1_19_2013-01-25,9057.92
1_19_2013-02-01,6613.58
1_19_2013-02-08,11075.1
1_19_2013-02-15,9012.98
1_19_2013-02-22,8856.13
1_19_2013-03-01,8131.88
1_19_2013-03-08,9221.75
1_19_2013-03-15,9418.32
1_19_2013-03-22,7577.42
1_19_2013-03-29,5755.69
1_19_2013-04-05,8281.72
1_19_2013-04-12,5415.81
1_19_2013-04-19,9528.2
1_19_2013-04-26,7637.6
1_19_2013-05-03,9205.4
1_19_2013-05-10,5637.97
1_19_2013-05-17,11002.88
1_19_2013-05-24,6321.7
1_19_2013-05-31,7152.62
1_19_2013-06-07,8924.05
1_19_2013-06-14,7648.08
1_19_2013-06-21,1682.79
1_19_2013-06-28,9601.63
1_19_2013-07-05,6424.63
1_19_2013-07-12,2073.35
1_19_2013-07-19,6233.57
1_19_2013-07-26,3927.84
1_20_2012-11-02,6257.85
1_20_2012-11-09,1406.79
1_20_2012-11-16,5448.74
1_20_2012-11-23,1295.84
1_20_2012-11-30,6881.58
1_20_2012-12-07,7926.24
1_20_2012-12-14,7294.22
1_20_2012-12-21,5138.71
1_20_2012-12-28,3652.58
1_20_2013-01-04,10087.84
1_20_2013-01-11,1952.13
1_20_2013-01-18,9633.37
1_20_2013-01-25,1568.07
1_20_2013-02-01,11303.87
1_20_2013-02-08,3988.41
1_20_2013-02-15,4504.71
1_20_2013-02-22,3824.39
1_20_2013-03-01,10750.92
1_20_2013-03-08,6288.88
1_20_2013-03-15,5582.66
1_20_2013-03-22,4889.68
1_20_2013-03-29,447.59
1_20_2013-04-05,1388.7
1_20_2013-04-12,11667.89
1_20_2013-04-19,2113.43
1_20_2013-04-26,10751.77
1_20_2013-05-03,1065.97
1_20_2013-05-10,7001.82
1_20_2013-05-17,10756.77
1_20_2013-05-24,10701.49
1_20_2013-05-31,6488.68
1_20_2013-06-07,8507.75
1_20_2013-06-14,8704.18
1_20_2013-06-21,5571.42
1_20_2013-06-28,11625.8
1_20_2013-07-05,7331.1
1_20_2013-07-12,5263.85
1_20_2013-07-19,1471.28
1_20_2013-07-26,4700.02
1_21_2012-11-02,6459.88
1_21_2012-11-09,8918.89
1_21_2012-11-16,3579.97
1_21_2012-11-23,6481.56
1_21_2012-11-30,6495.29
1_21_2012-12-07,8587.31
1_21_2012-12-14,2968.69
1_21_2012-12-21,3560.49
1_21_2012-12-28,6397.2
1_21_2013-01-04,10066.42
1_21_2013-01-11,7845.1
1_21_2013-01-18,10788.98
1_21_2013-01-25,11520.09
1_21_2013-02-01,5736.0
1_21_2013-02-08,8488.48
1_21_2013-02-15,3193.63
1_21_2013-02-22,6741.33
1_21_2013-03-01,1478.1
1_21_2013-03-08,6504.5
1_21_2013-03-15,12163.42
1_21_2013-03-22,5740.44
1_21_2013-03-29,9511.37
1_21_2013-04-05,5450.49
1_21_2013-04-12,8256.54
1_21_2013-04-19,8903.48
1_21_2013-04-26,5793.7
1_21_2013-05-03,10191.79
1_21_2013-05-10,3302.05
1_21_2013-05-17,8206.25
1_21_2013-05-24,5269.76
1_21_2013-05-31,6604.76
1_21_2013-06-07,8627.7
1_21_2013-06-14,5256.85
1_21_2013-06-21,7117.22
1_21_2013-06-28,10572.45
1_21_2013-07-05,6636.65
1_21_2013-07-12,9535.26
1_21_2013-07-19,1111.97
1_21_2013-07-26,3980.01
1_22_2012-11-02,12026.19
1_22_2012-11-09,4942.77
1_22_2012-11-16,4048.89
1_22_2012-11-23,10737.28
1_22_2012-11-30,2236.01
1_22_2012-12-07,8851.18
1_22_2012-12-14,5452.23
1_22_2012-12-21,7319.48
1_22_2012-12-28,12800.39
1_22_2013-01-04,7208.78
1_22_2013-01-11,6678.25
1_22_2013-01-18,8339.49
1_22_2013-01-25,3555.39
1_22_2013-02-01,12040.84
1_22_2013-02-08,1409.21
1_22_2013-02-15,9785.7
1_22_2013-02-22,12019.82
1_22_2013-03-01,9568.05
1_22_2013-03-08,5932.49
1_22_2013-03-15,10343.2
1_22_2013-03-22,7049.26
1_22_2013-03-29,10393.01
1_22_2013-04-05,6985.4
1_22_2013-04-12,3129.3
1_22_2013-04-19,7118.38
1_22_2013-04-26,10863.12
1_22_2013-05-03,3415.27
1_22_2013-05-10,8733.11
1_22_2013-05-17,8456.63
1_22_2013-05-24,9159.17
1_22_2013-05-31,8869.78
1_22_2013-06-07,9628.64
1_22_2013-06-14,10315.8
1_22_2013-06-21,7258.1
1_22_2013-06-28,6759.47
1_22_2013-07-05,9674.44
1_22_2013-07-12,10723.02
1_22_2013-07-19,7354.83
1_22_2013-07-26,9348.26
1_23_2012-11-02,8556.58
1_23_2012-11-09,8898.96
1_23_2012-11-16,5644.05
1_23_2012-11-23,2257.08
1_23_2012-11-30,10436.0
1_23_2012-12-07,8895.29
1_23_2012-12-14,10196.46
1_23_2012-12-21,8855.83
1_23_2012-12-28,10000.99
1_23_2013-01-04,7646.05
1_23_2013-01-11,7035.86
1_23_2013-01-18,9032.84
1_23_2013-01-25,8414.31
1_23_2013-02-01,6028.83
1_23_2013-02-08,11284.72
1_23_2013-02-15,5744.51
1_23_2013-02-22,12029.19
1_23_2013-03-01,4646.19
1_23_2013-03-08,6317.67
1_23_2013-03-15,5256.66
1_23_2013-03-22,8113.59
1_23_2013-03-29,3633.15
1_23_2013-04-05,7793.36
1_23_2013-04-12,3823.21
1_23_2013-04-19,8146.29
1_23_2013-04-26,9421.87
1_23_2013-05-03,6702.19
1_23_2013-05-10,3429.86
1_23_2013-05-17,6486.76
1_23_2013-05-24,8835.53
1_23_2013-05-31,6493.85
1_23_2013-06-07,2602.99
1_23_2013-06-14,7498.06
1_23_2013-06-21,8828.67
1_23_2013-06-28,6248.95
1_23_2013-07-05,8278.98
1_23_2013-07-12,8598.4
1_23_2013-07-19,5765.98
1_23_2013-07-26,8485.08
1_24_2012-11-02,9504.07
1_24_2012-11-09,591.94
1_24_2012-11-16,6968.79
1_24_2012-11-23,8914.53
1_24_2012-11-30,7262.21
1_24_2012-12-07,6298.96
1_24_2012-12-14,5660.14
1_24_2012-12-21,8413.67
1_24_2012-12-28,11125.33
1_24_2013-01-04,6386.69
1_24_2013-01-11,10993.71
1_24_2013-01-18,7197.36
1_24_2013-01-25,8201.23
1_24_2013-02-01,11393.11
1_24_2013-02-08,7600.02
1_24_2013-02-15,9202.64
1_24_2013-02-22,7026.06
1_24_2013-03-01,7541.5
1_24_2013-03-08,9080.5
1_24_2013-03-15,12390.73
1_24_2013-03-22,5767.9
1_24_2013-03-29,8949.23
1_24_2013-04-05,9056.73
